symbol
BTCUSDT
ETHUSDT
BCHUSDT
LTCUSDT
ETCUSDT
LINKUSDT
AVAXUSDT
SOLUSDT
DARBTC
IRISBTC
RAREBRL
THETAETH
UTKBTC
